order_id,store_id,pick_up_lat,pick_up_lng,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
o35,s10,3.431775,-76.538941,3.421164,-76.538714,6:56:06,6:57:20,7:05:20,7:26:06
o36,s14,3.46878905,-76.52890218,3.474034071,-76.5278244,6:58:58,7:00:58,7:18:58,7:25:58
o37,s16,3.424064,-76.544266,3.421164,-76.538714,7:03:45,7:04:52,7:22:52,7:33:45
o38,s17,3.437955,-76.526136,3.4347394,-76.5504837,7:03:46,7:04:45,7:19:45,7:33:46
o39,s18,3.452574,-76.530055,3.446977,-76.548042,7:04:02,7:05:17,7:21:17,7:39:02
o40,s12,3.38960698,-76.52852186,3.365314,-76.52149,7:04:03,7:05:03,7:20:03,7:36:03
o41,s19,3.385001,-76.524302,3.394213,-76.524732,7:04:34,7:06:35,7:21:35,7:36:34
o42,s20,3.402756713,-76.52885021,3.399479,-76.551392,7:11:42,7:12:57,7:42:57,7:51:42
o43,s18,3.452574,-76.530055,3.454330413,-76.53766606,7:13:01,7:14:14,7:31:14,7:48:01
o44,s17,3.437955,-76.526136,3.4398549,-76.5453559,7:14:23,7:15:39,7:30:39,7:44:23
o45,s21,3.453454,-76.549681,3.447766901,-76.53611809,7:15:59,7:17:20,8:02:20,7:48:59
o46,s14,3.46878905,-76.52890218,3.4735417,-76.5271697,7:19:40,7:20:59,7:38:59,7:46:40
o47,s16,3.424064,-76.544266,3.399829188,-76.54973577,7:21:37,7:22:43,7:42:43,7:51:37
o48,s22,3.475527,-76.526513,3.485871246,-76.513726,7:24:21,7:25:44,7:39:44,7:54:21
o49,s18,3.452574,-76.530055,3.475476444,-76.53257221,7:35:59,7:36:59,7:53:59,8:10:59
o50,s23,3.454421776,-76.52636363,3.458355,-76.536109,7:42:35,7:43:42,7:58:42,8:12:35
o51,s24,3.435201,-76.545165,3.419509,-76.54477,7:43:44,7:44:51,8:20:51,8:11:44
o52,s25,3.484294,-76.526136,3.502982,-76.518414,7:52:04,7:53:03,8:17:03,8:34:04
o53,s26,3.436702,-76.545522,3.427380449,-76.54475824,7:53:04,7:54:17,8:24:17,8:22:04
o54,s21,3.453454,-76.549681,3.45457907,-76.54659513,7:53:20,7:54:59,8:09:59,8:23:20
o55,s12,3.38960698,-76.52852186,3.4081212,-76.5489207,7:55:38,7:57:12,8:12:12,8:27:38
o56,s27,3.4261854,-76.5382309,3.4226804,-76.530543,7:58:53,8:00:07,8:11:07,8:29:53
o57,s28,3.431436,-76.539125,3.421258,-76.5434735,7:59:48,8:01:06,8:53:06,8:29:48
o59,s29,3.486661477,-76.51752249,3.491038,-76.517093,8:00:00,8:20:16,8:35:16,8:30:00
o80,s30,3.407682677,-76.54743818,3.393555,-76.524806,8:07:43,8:09:26,8:14:26,8:37:43
o81,s31,3.469412,-76.530348,3.484117842,-76.51587475,8:08:48,8:10:03,8:25:03,8:38:48
o82,s32,3.4521,-76.547129,3.4280358,-76.5464317,8:09:35,8:11:19,8:26:19,8:39:35
o83,s16,3.424064,-76.544266,3.4077674,-76.5566732,8:10:16,8:11:21,8:32:21,8:40:16
o84,s32,3.4521,-76.547129,3.434105,-76.549332,8:10:45,8:12:18,8:27:18,8:40:45
o85,s33,3.474966,-76.526772,3.488094,-76.523366,8:11:11,8:12:17,8:39:17,8:41:11
o86,s34,3.375787044,-76.53742401,3.348319,-76.52849,8:11:24,8:12:33,8:17:33,8:41:24
o87,s31,3.469412,-76.530348,3.491700597,-76.52175184,8:11:25,8:14:37,8:34:37,8:41:25
o88,s23,3.454421776,-76.52636363,3.453532901,-76.54688179,8:13:01,8:14:14,8:29:14,8:43:01
o89,s35,3.421286,-76.542207,3.4217185,-76.5391566,8:13:52,8:15:03,8:36:03,8:43:52
o90,s36,3.476692761,-76.52481572,3.4876705,-76.497128,8:16:12,8:17:24,8:57:24,8:46:12
o91,s6,3.432901,-76.543776,3.454704,-76.542263,8:19:47,8:20:47,8:30:47,8:49:47
o92,s37,3.47034353,-76.52878223,3.489963,-76.520869,8:20:52,8:21:51,8:46:51,8:49:52
o93,s15,3.388054,-76.53889,3.3798705,-76.5283234,8:21:13,8:22:28,8:32:28,8:48:13
o94,s35,3.421286,-76.542207,3.426108,-76.544143,8:23:21,8:24:15,8:45:15,8:53:21
o95,s38,3.413650805,-76.54718585,3.430477,-76.545014,8:24:10,8:24:53,8:41:53,9:04:10
o96,s32,3.4521,-76.547129,3.446489,-76.547004,8:29:17,8:30:25,8:45:25,8:59:17
o97,s39,3.4221873,-76.5412738,3.406977,-76.544996,8:30:38,8:31:09,8:41:09,8:57:38
o98,s40,3.380738,-76.525347,3.358294,-76.533905,8:30:54,8:32:38,9:37:38,9:00:54
o99,s17,3.437955,-76.526136,3.429534278,-76.54290307,8:31:45,8:32:34,8:52:34,9:01:45
o100,s41,3.369155,-76.542355,3.364463,-76.526634,8:31:50,8:32:55,8:57:55,9:01:50
o101,s42,3.363721846,-76.53300803,3.345998,-76.52762,8:32:17,8:33:43,8:43:43,9:02:17
o102,s43,3.373882,-76.538773,3.3940242,-76.5474416,8:33:27,8:34:34,8:58:34,9:03:27
o103,s42,3.363721846,-76.53300803,3.352137,-76.541113,8:34:44,8:36:09,8:45:09,9:04:44
o104,s18,3.452574,-76.530055,3.464199,-76.528212,8:35:29,8:36:34,8:52:34,9:00:29
o105,s20,3.402756713,-76.52885021,3.399844,-76.525243,8:39:36,8:41:01,9:11:01,9:17:36
o106,s24,3.435201,-76.545165,3.431,-76.543591,8:39:53,8:40:59,9:17:59,9:04:53
o107,s31,3.469412,-76.530348,3.4671432,-76.5327706,8:40:54,8:41:56,8:49:56,9:10:54
o108,s23,3.454421776,-76.52636363,3.457695,-76.5265453,8:42:29,8:43:29,9:03:29,9:12:29
o109,s15,3.388054,-76.53889,3.3810493,-76.5319664,8:43:25,8:44:37,8:54:37,9:09:25
o110,s10,3.431775,-76.538941,3.4222414,-76.5436738,8:46:30,8:47:43,8:56:43,9:16:30
o111,s26,3.436702,-76.545522,3.449924,-76.534905,8:47:20,8:48:41,9:11:41,9:16:20
o112,s39,3.4221873,-76.5412738,3.402256,-76.532179,8:48:22,8:48:58,8:58:58,9:21:22
o113,s44,3.475559,-76.528285,3.490664,-76.517386,8:48:42,8:49:48,9:17:48,9:26:42
o114,s18,3.452574,-76.530055,3.464199,-76.528212,8:50:40,8:51:37,9:07:37,9:15:40
o115,s40,3.380738,-76.525347,3.3511411,-76.5437716,8:50:40,8:52:14,9:13:14,9:48:40
o116,s44,3.475559,-76.528285,3.461808851,-76.53461136,8:52:22,8:53:28,9:21:28,9:30:22
o117,s45,3.452041,-76.549233,3.4327321,-76.5506743,8:53:52,8:55:18,9:00:18,9:23:52
o118,s46,3.451862,-76.543033,3.457311,-76.553341,8:58:41,8:59:32,9:13:32,9:40:41
o119,s17,3.437955,-76.526136,3.439846,-76.544768,8:58:57,9:00:12,9:20:12,9:28:57
o120,s44,3.475559,-76.528285,3.468783,-76.52576,8:59:07,9:00:14,9:28:14,9:37:07
o121,s15,3.388054,-76.53889,3.395766,-76.5264906,8:59:46,9:01:12,9:24:12,9:26:46
o144,s47,3.491745,-76.522902,3.455516,-76.544935,9:00:00,9:28:13,9:47:13,11:00:00
o142,s47,3.491745,-76.522902,3.455194,-76.547875,9:00:00,9:28:12,9:44:12,11:00:00
o123,s47,3.491745,-76.522902,3.4402036,-76.5526425,9:00:00,9:28:12,9:44:12,11:00:00
o127,s47,3.491745,-76.522902,3.441884,-76.547538,9:00:00,9:28:12,9:44:12,11:00:00
o134,s47,3.491745,-76.522902,3.4914503,-76.5278311,9:00:00,9:27:10,9:43:10,11:00:00
o128,s47,3.491745,-76.522902,3.447857,-76.550064,9:00:00,10:15:19,10:31:19,11:00:00
o172,s48,3.48704,-76.517273,3.489670437,-76.51339626,9:01:27,9:07:29,9:12:29,9:31:27
o173,s49,3.479636,-76.527079,3.45207,-76.542109,9:04:08,9:08:24,9:18:24,9:39:08
o174,s17,3.437955,-76.526136,3.430477,-76.545014,9:04:38,9:05:43,9:20:43,9:34:38
o175,s50,3.469029082,-76.51120612,3.478311,-76.526924,9:05:07,9:06:06,9:28:06,9:35:07
o176,s28,3.431436,-76.539125,3.43392856,-76.51753306,9:05:11,9:06:17,9:48:17,9:35:11
o177,s12,3.38960698,-76.52852186,3.39535713,-76.53375099,9:06:00,9:06:55,9:17:55,9:35:00
o178,s51,3.36919856,-76.52774422,3.3642958,-76.5340476,9:06:02,9:07:27,9:22:27,9:36:02
o179,s23,3.454421776,-76.52636363,3.447768,-76.535991,9:06:11,9:06:59,9:26:59,9:36:11
o180,s52,3.369477899,-76.52743205,3.366988,-76.516939,9:06:46,9:07:30,9:21:30,9:36:46
o181,s53,3.408584908,-76.54689321,3.402256,-76.532179,9:07:07,9:07:42,9:17:42,9:37:07
o182,s19,3.385001,-76.524302,3.3745852,-76.521037,9:07:18,9:08:37,9:28:37,9:39:18
o183,s23,3.454421776,-76.52636363,3.441008,-76.552006,9:08:10,9:09:20,9:29:20,9:38:10
o184,s19,3.385001,-76.524302,3.3735078,-76.5403409,9:08:29,9:09:34,9:39:34,9:45:29
o185,s23,3.454421776,-76.52636363,3.4549287,-76.5276991,9:10:33,9:11:46,9:26:46,9:40:33
o186,s51,3.36919856,-76.52774422,3.334652013,-76.52882084,9:12:19,9:13:39,9:28:39,9:42:19
o187,s54,3.467939984,-76.53214699,3.485221009,-76.53181281,9:12:31,9:13:36,9:43:36,9:42:31
o188,s21,3.453454,-76.549681,3.448549023,-76.53826151,9:13:35,9:14:54,9:44:54,9:46:35
o189,s55,3.453672,-76.549451,3.451552,-76.550055,9:14:00,9:15:05,9:55:05,9:38:00
o190,s56,3.45041978,-76.53909767,3.438506,-76.544586,9:14:11,9:14:53,9:20:53,9:44:11
o191,s57,3.453697,-76.546848,3.455002,-76.549283,9:16:48,9:27:09,9:32:09,9:39:48
o192,s58,3.433928,-76.541452,3.450513,-76.547354,9:17:49,9:19:04,9:35:04,9:51:49
o193,s42,3.363721846,-76.53300803,3.335711201,-76.52758951,9:18:14,9:19:22,9:28:22,9:48:14
o194,s32,3.4521,-76.547129,3.4573113,-76.5533409,9:18:47,9:20:02,9:40:02,9:48:47
o195,s14,3.46878905,-76.52890218,3.462283,-76.53302,9:19:07,9:20:09,9:38:09,9:46:07
o196,s59,3.450188,-76.543191,3.4573113,-76.5533409,9:20:27,9:21:24,9:26:24,9:38:27
o197,s33,3.474966,-76.526772,3.476965,-76.524792,9:22:41,9:23:51,9:40:51,9:52:41
o198,s32,3.4521,-76.547129,3.450513,-76.547354,9:25:51,9:26:49,9:41:49,9:55:51
o199,s21,3.453454,-76.549681,3.4437616,-76.5458753,9:27:00,9:28:20,10:03:20,10:00:00
o200,s6,3.432901,-76.543776,3.447319,-76.554468,9:27:13,9:28:44,9:33:44,9:57:13
o201,s35,3.421286,-76.542207,3.416222,-76.545457,9:27:21,9:28:14,9:47:14,9:57:21
o202,s34,3.375787044,-76.53742401,3.357901311,-76.51834913,9:28:43,9:29:35,9:34:35,9:58:43
o203,s23,3.454421776,-76.52636363,3.450401,-76.541746,9:29:31,9:30:35,9:50:35,9:59:31
o205,s23,3.454421776,-76.52636363,3.457425,-76.534941,9:30:04,9:31:03,9:51:03,10:00:04
o206,s15,3.388054,-76.53889,3.4008078,-76.5524432,9:30:32,9:31:27,9:46:27,10:01:32
o207,s18,3.452574,-76.530055,3.468260823,-76.52032122,9:34:51,9:35:57,9:51:57,10:09:51
o208,s60,3.414165,-76.546937,3.4187565,-76.5435793,9:36:42,9:37:44,9:49:44,10:06:42
o209,s12,3.38960698,-76.52852186,3.395268565,-76.53837383,9:37:33,9:38:34,9:58:34,10:06:33
o210,s61,3.3968882,-76.544142,3.397569,-76.526077,9:41:03,9:42:20,10:02:20,10:03:03
o211,s62,3.42664,-76.545489,3.436512,-76.536221,9:41:27,9:42:25,9:58:25,10:03:27
o212,s63,3.452151,-76.547165,3.4479079,-76.5537464,9:42:08,9:46:28,9:51:28,10:03:08
o213,s56,3.45041978,-76.53909767,3.453408,-76.544721,9:42:10,9:42:51,9:52:51,10:12:10
o214,s46,3.451862,-76.543033,3.463941,-76.534698,9:42:54,9:44:06,9:58:06,10:24:54
o215,s50,3.469029082,-76.51120612,3.4702747,-76.5003919,9:44:32,9:45:59,10:12:59,10:14:32
o216,s32,3.4521,-76.547129,3.4500452,-76.5382853,9:44:59,9:46:23,10:06:23,10:14:59
o217,s64,3.528358,-76.316795,3.5293694,-76.2921898,9:45:05,9:45:53,9:55:53,10:15:05
o218,s65,3.367739,-76.536986,3.3751562,-76.5418803,9:46:12,9:46:57,10:06:57,10:12:12
o219,s66,3.387687297,-76.53584765,3.396844943,-76.53366923,9:46:17,9:47:30,10:04:30,10:14:17
o220,s19,3.385001,-76.524302,3.371895,-76.504727,9:46:29,9:48:09,10:09:09,10:23:29
o221,s67,3.370791,-76.539106,3.3643853,-76.529397,9:47:23,9:48:45,10:08:45,10:17:23
o222,s68,3.475995,-76.527832,3.468334449,-76.52088113,9:48:15,9:50:26,9:55:26,10:18:15
o223,s69,3.464625688,-76.50158858,3.4791427,-76.5012976,9:49:38,9:51:13,10:07:13,10:26:38
o224,s49,3.479636,-76.527079,3.442797,-76.547438,9:52:33,10:04:54,10:14:54,10:27:33
o225,s70,3.464941961,-76.51315409,3.4646815,-76.49551,9:53:45,9:54:34,10:03:34,10:24:45
o226,s6,3.432901,-76.543776,3.46149,-76.508339,9:54:14,9:56:29,10:01:29,10:24:14
o227,s40,3.380738,-76.525347,3.403419,-76.543395,9:55:45,9:57:06,10:16:06,10:53:45
o228,s71,3.45011,-76.552786,3.4244387,-76.5464927,9:56:55,9:57:52,10:27:52,10:39:55
o229,s12,3.38960698,-76.52852186,3.424676783,-76.51527867,9:59:21,10:00:44,10:11:44,10:39:21
o246,s72,3.41671,-76.536807,3.452093,-76.541909,10:00:00,10:15:45,10:20:45,10:30:00
o230,s47,3.491745,-76.522902,3.4531,-76.54302,10:00:00,11:50:27,12:06:27,12:00:00
o237,s47,3.491745,-76.522902,3.4377491,-76.5255671,10:00:00,10:04:16,10:20:16,12:00:00
o238,s73,3.375093824,-76.53833891,3.372297342,-76.52375747,10:00:00,10:12:49,10:26:49,10:30:00
o239,s47,3.491745,-76.522902,3.436502536,-76.5294756,10:00:00,10:12:49,10:28:49,12:00:00
o249,s47,3.491745,-76.522902,3.454363,-76.539625,10:00:00,11:30:22,11:46:22,12:00:00
o250,s47,3.491745,-76.522902,3.4380891,-76.5445726,10:00:00,10:00:51,10:16:51,12:00:00
o256,s73,3.375093824,-76.53833891,3.2462962,-76.5762466,10:00:00,10:08:47,10:25:47,10:30:00
o274,s65,3.367739,-76.536986,3.379606,-76.522199,10:00:18,10:02:02,10:22:02,10:26:18
o275,s74,3.364523,-76.533501,3.3195767,-76.5439595,10:00:20,10:01:39,10:09:39,10:24:20
o276,s16,3.424064,-76.544266,3.4228806,-76.5489416,10:00:50,10:01:57,10:22:57,10:30:50
o277,s75,3.436101,-76.529957,3.463996,-76.526833,10:02:31,10:03:48,10:08:48,10:32:31
o278,s35,3.421286,-76.542207,3.404134,-76.548887,10:02:49,10:03:57,10:24:57,10:32:49
o279,s63,3.452151,-76.547165,3.456585,-76.538634,10:02:59,10:04:17,10:09:17,10:26:59
o280,s76,3.343461,-76.534817,3.3236483,-76.5221213,10:04:29,10:05:25,10:17:25,10:30:29
o281,s77,3.423342,-76.540975,3.405301,-76.548666,10:06:10,10:07:28,10:57:28,10:26:10
o282,s12,3.38960698,-76.52852186,3.3818321,-76.5107927,10:06:15,10:07:30,10:22:30,10:38:15
o283,s78,3.45929,-76.534552,3.4404699,-76.5192661,10:08:55,10:10:05,10:36:05,10:30:55
o284,s6,3.432901,-76.543776,3.4387864,-76.547478,10:09:19,10:10:49,10:15:49,10:39:19
o285,s77,3.423342,-76.540975,3.4051316,-76.5287174,10:10:35,10:11:57,11:01:57,10:30:35
o286,s11,3.480488,-76.524805,3.482121085,-76.52826123,10:12:31,10:13:55,10:34:55,10:39:31
o287,s79,3.464998626,-76.50051487,3.452665329,-76.50163269,10:13:38,10:14:31,10:23:31,10:43:38
o288,s37,3.47034353,-76.52878223,3.4639429,-76.5306606,10:13:47,10:17:36,10:42:36,10:39:47
o289,s80,3.484027,-76.522302,3.480161,-76.521011,10:14:34,10:15:29,10:40:29,10:44:34
o290,s81,3.39001645,-76.53869445,3.353104,-76.541746,10:18:08,10:19:09,10:54:09,11:01:08
o291,s82,3.47235,-76.526834,3.491221038,-76.51619397,10:19:14,10:20:31,10:32:31,10:45:14
o292,s71,3.45011,-76.552786,3.447245486,-76.55628361,10:19:37,10:20:54,11:05:54,10:39:37
o293,s74,3.364523,-76.533501,3.3513347,-76.5319868,10:20:44,10:21:54,10:29:54,10:36:44
o294,s6,3.432901,-76.543776,3.449803,-76.55626,10:21:07,10:22:43,10:27:43,10:51:07
o295,s81,3.39001645,-76.53869445,3.395574,-76.5288983,10:21:26,10:22:09,10:57:09,10:47:26
o296,s78,3.45929,-76.534552,3.453062359,-76.5471708,10:21:43,10:22:48,10:47:48,10:43:43
o297,s67,3.370791,-76.539106,3.381813,-76.537201,10:22:07,10:23:15,10:43:15,10:52:07
o298,s78,3.45929,-76.534552,3.448863,-76.545919,10:22:12,10:23:17,10:48:17,10:44:12
o299,s36,3.476692761,-76.52481572,3.446389067,-76.50872368,10:22:34,10:24:07,10:44:07,10:52:34
o300,s66,3.387687297,-76.53584765,3.398248,-76.540651,10:22:58,10:24:20,10:43:20,10:50:58
o301,s37,3.47034353,-76.52878223,3.452148,-76.546968,10:24:23,10:25:26,10:39:26,10:54:23
o302,s16,3.424064,-76.544266,3.4097961,-76.5498442,10:25:02,10:26:04,10:49:04,10:55:02
o303,s12,3.38960698,-76.52852186,3.3942132,-76.524732,10:26:51,10:28:15,10:43:15,10:55:51
o304,s83,3.369246,-76.528068,3.384630228,-76.53099985,10:27:30,10:28:44,10:47:44,11:05:30
o305,s57,3.453697,-76.546848,3.459048649,-76.5372177,10:27:35,10:39:27,10:49:27,10:58:35
o306,s84,3.475735896,-76.52752743,3.482498,-76.521973,10:28:28,10:29:06,10:51:06,10:58:28
o307,s85,3.428637646,-76.53793514,3.429325,-76.552896,10:28:56,10:30:06,10:38:06,10:55:56
o308,s66,3.387687297,-76.53584765,3.3924148,-76.5357313,10:29:02,10:30:01,10:45:01,10:57:02
o309,s86,3.367539,-76.527297,3.3811804,-76.5348693,10:29:22,10:30:41,10:51:41,10:59:22
o310,s42,3.363721846,-76.53300803,3.3417455,-76.5459386,10:31:13,10:34:28,10:54:28,11:01:13
o311,s87,3.384818282,-76.52843619,3.382502826,-76.51105955,10:31:42,10:32:47,10:53:47,11:07:42
o312,s88,3.384922,-76.53927,3.390485,-76.53555,10:32:49,10:33:51,10:44:51,11:00:49
o313,s6,3.432901,-76.543776,3.4198482,-76.5527603,10:33:08,10:36:52,10:41:52,11:03:08
o314,s89,3.424792,-76.540491,3.4178911,-76.5325734,10:34:13,10:34:49,10:39:49,11:04:13
o315,s20,3.402756713,-76.52885021,3.397293,-76.530037,10:34:25,10:35:42,11:05:42,11:12:25
o316,s84,3.475735896,-76.52752743,3.474033726,-76.52782302,10:35:15,10:35:52,10:57:52,11:05:15
o317,s90,3.371589,-76.538839,3.3806525,-76.5234694,10:35:25,10:43:07,10:58:07,11:05:25
o318,s74,3.364523,-76.533501,3.364423,-76.52684,10:37:03,10:38:20,10:46:20,10:53:03
o319,s91,3.3566366,-76.5412706,3.366749,-76.535464,10:38:09,10:39:22,11:02:22,11:08:09
o320,s80,3.484027,-76.522302,3.4887932,-76.5071678,10:39:51,10:40:56,11:05:56,11:09:51
o321,s42,3.363721846,-76.53300803,3.347195,-76.537211,10:41:15,10:42:11,11:02:11,11:11:15
o322,s92,3.491754,-76.522903,3.482311821,-76.52704235,10:42:10,10:43:37,11:08:37,11:13:10
o323,s93,3.3434499,-76.5312891,3.364792435,-76.52948029,10:43:35,10:46:47,11:12:47,11:13:35
o324,s23,3.454421776,-76.52636363,3.468284,-76.520095,10:44:53,10:46:02,11:01:02,11:14:53
o325,s94,3.475660122,-76.52771566,3.4880342,-76.5233962,10:44:56,10:47:56,11:22:56,11:14:56
o326,s95,3.367539,-76.527298,3.3556885,-76.5141185,10:46:07,10:47:13,11:26:13,11:16:07
o327,s24,3.435201,-76.545165,3.45276,-76.5427862,10:46:40,10:47:48,11:30:48,11:14:40
o328,s96,3.380575621,-76.5284468,3.365597,-76.539268,10:46:48,10:48:02,10:57:02,11:06:48
o329,s97,3.450874,-76.529582,3.4453478,-76.5326334,10:48:15,10:48:52,11:12:52,11:18:15
o330,s76,3.343461,-76.534817,3.355779642,-76.51527666,10:48:47,10:49:44,11:07:44,11:36:47
o331,s98,3.43252,-76.537494,3.431000127,-76.54359141,10:49:26,10:50:42,10:55:42,11:06:26
o332,s99,3.450881,-76.529409,3.450367,-76.548131,10:50:01,10:51:00,11:11:00,11:20:01
o333,s6,3.432901,-76.543776,3.451984,-76.541389,10:51:20,10:55:36,11:05:36,11:21:20
o334,s85,3.428637646,-76.53793514,3.4205434,-76.5444075,10:51:21,10:52:26,11:00:26,11:09:21
o335,s24,3.435201,-76.545165,3.446916,-76.546974,10:51:53,10:53:00,11:29:00,11:19:53
o336,s19,3.385001,-76.524302,3.3697323,-76.5146574,10:52:00,10:52:50,11:06:50,11:29:00
o337,s90,3.371589,-76.538839,3.398932,-76.538918,10:52:44,11:04:41,11:19:41,11:22:44
o338,s100,3.475816743,-76.52762648,3.484448671,-76.51150513,10:53:12,10:54:32,11:54:32,11:18:12
o339,s101,3.464876111,-76.50149601,3.4567838,-76.5209367,10:54:24,10:55:01,11:10:01,11:28:24
o340,s71,3.45011,-76.552786,3.421565,-76.550849,10:54:39,10:55:50,11:25:50,11:37:39
o341,s24,3.435201,-76.545165,3.429757,-76.54908,10:54:46,10:55:53,11:32:53,11:22:46
o342,s102,3.454283301,-76.53721217,3.452569008,-76.54495239,10:55:18,10:56:37,11:01:37,11:12:18
o343,s16,3.424064,-76.544266,3.422208,-76.542917,10:56:05,10:57:10,11:24:10,11:26:05
o344,s99,3.450881,-76.529409,3.4571216,-76.5159242,10:57:12,10:58:15,11:18:15,11:27:12
o345,s103,3.412268815,-76.54060914,3.411022627,-76.53906483,10:57:42,10:58:19,11:20:19,11:27:42
o346,s104,3.4705718,-76.5285289,3.461097,-76.527777,10:58:19,10:59:17,11:12:17,11:30:19
o347,s105,3.459265,-76.529652,3.489653,-76.514464,10:58:24,10:59:30,11:14:30,11:28:24
o348,s52,3.369477899,-76.52743205,3.3371155,-76.5420858,10:59:21,11:00:04,11:16:04,11:29:21
o349,s84,3.475735896,-76.52752743,3.483376,-76.522005,10:59:48,11:00:23,11:22:23,11:29:48
o388,s47,3.491745,-76.522902,3.430983,-76.551611,11:00:00,11:27:18,11:43:18,13:00:00
o355,s47,3.491745,-76.522902,3.46473208,-76.50849205,11:00:00,11:27:51,11:43:51,13:00:00
o387,s106,3.344306988,-76.53026133,3.359488,-76.533926,11:00:00,11:10:19,11:25:19,12:00:00
o361,s47,3.491745,-76.522902,3.464552,-76.534196,11:00:00,11:59:17,12:15:17,13:00:00
o362,s47,3.491745,-76.522902,3.45069,-76.554131,11:00:00,11:20:20,11:36:20,13:00:00
o363,s107,3.433639,-76.544016,3.447557733,-76.55620012,11:00:00,11:53:16,12:11:16,12:00:00
o371,s47,3.491745,-76.522902,3.449059,-76.546895,11:00:00,12:22:25,12:38:25,13:00:00
o375,s47,3.491745,-76.522902,3.490533,-76.5174395,11:00:00,12:20:18,12:39:18,13:00:00
o379,s47,3.491745,-76.522902,3.452874945,-76.54766299,11:00:00,11:25:12,11:41:12,13:00:00
o381,s106,3.344306988,-76.53026133,3.349726,-76.548323,11:00:00,11:16:21,11:31:21,12:00:00
o385,s47,3.491745,-76.522902,3.436552,-76.530629,11:00:00,11:22:18,11:38:18,13:00:00
